DTG,RTT
1426287661475,146
1426287661720,136
1426287661982,147
1426287662225,140
1426287662479,139
1426287662771,178
1426287662989,145
1426287663240,145
1426287663486,141
1426287663745,150
1426287663993,146
1426287664252,154
1426287664492,143
1426287664738,138
1426287664989,139
1426287665243,138
1426287665507,148
1426287665776,161
1426287666012,145
1426287666259,138
1426287666530,158
1426287666758,136
1426287667041,167
1426287667270,145
1426287667534,155
1426287667777,147
1426287668033,149
1426287668270,135
1426287668553,165
1426287668797,158
1426287669034,140
1426287669283,138
1426287669548,150
1426287669794,143
1426287670047,144
1426287670298,142
1426287670603,197
1426287670802,142
1426287671060,146
1426287671311,147
1426287671554,135
1426287671821,149
1426287672060,137
1426287672322,148
1426287672570,145
1426287672819,141
1426287673064,135
1426287673329,145
1426287673582,143
1426287673837,143
1426287674093,147
1426287674334,137
1426287674593,143
1426287674847,143
1426287675097,137
1426287675361,146
1426287675613,145
1426287675864,143
1426287676117,143
1426287676424,197
1426287676613,135
1426287676872,143
1426287677125,141
1426287677385,146
1426287677631,141
1426287677881,139
1426287678129,136
1426287678388,145
1426287678631,137
1426287678886,141
1426287679130,133
1426287679434,188
1426287679640,140
1426287679895,140
1426287680161,156
1426287680393,134
1426287680650,139
1426287680898,137
1426287681147,133
1426287681408,141
1426287681653,132
1426287681921,150
1426287682162,140
1426287682428,155
1426287682660,135
1426287682934,156
1426287683177,146
1426287683428,146
1426287683674,135
1426287683923,134
1426287684181,140
1426287684431,135
1426287684691,144
1426287684943,145
1426287685196,144
1426287685454,147
1426287685711,149
1426287685956,141
1426287686212,144
1426287686461,142
1426287686711,138
1426287686970,144
1426287687215,135
1426287687474,139
1426287687734,145
1426287687981,137
1426287688244,147
1426287688481,133
1426287688742,139
1426287689006,148
1426287689255,143
1426287689500,138
1426287689800,187
1426287689998,134
1426287690253,138
1426287690507,142
1426287690754,137
1426287691012,143
1426287691263,139
1426287691510,136
1426287691775,146
1426287692021,138
1426287692276,141
1426287692521,134
1426287692795,157
1426287693030,140
1426287693285,142
1426287693538,142
1426287693783,135
1426287694050,147
1426287694296,137
1426287694556,144
1426287694804,141
1426287695058,144
1426287695306,142
1426287695552,137
1426287695807,139
1426287696062,139
1426287696319,144
1426287696574,143
1426287696825,140
1426287697088,149
1426287697342,146
1426287697588,141
1426287697843,144
1426287698109,155
1426287698352,144
1426287698605,143
1426287698857,143
1426287699108,139
1426287699359,135
1426287699624,146
1426287699874,145
1426287700124,144
1426287700444,210
1426287700642,156
1426287700890,149
1426287701145,149
1426287701388,142
1426287701642,143
1426287701901,149
1426287702141,138
1426287702400,145
1426287702639,134
1426287702896,137
1426287703158,144
1426287703447,178
1426287703650,131
1426287703915,140
1426287704167,141
1426287704422,145
1426287704671,140
1426287704919,133
1426287705180,139
1426287705430,134
1426287705693,142
1426287705952,150
1426287706199,143
1426287706453,145
1426287706707,145
1426287706954,141
1426287707201,134
1426287707461,144
1426287707712,141
1426287707970,145
1426287708221,144
1426287708469,139
1426287708718,138
1426287708973,143
1426287709219,138
1426287709475,139
1426287709731,140
1426287709979,136
1426287710247,152
1426287710484,137
1426287710733,136
1426287710992,141
1426287711242,139
1426287711494,139
1426287711750,142
1426287711994,136
1426287712260,147
1426287712502,138
1426287712760,143
1426287713014,145
1426287713265,143
1426287713514,138
1426287713824,198
1426287714016,138
1426287714263,135
1426287714521,143
1426287714768,136
1426287715030,146
1426287715281,142
1426287715536,144
1426287715789,146
1426287716047,150
1426287716287,139
1426287716538,139
1426287716813,161
1426287717047,141
1426287717306,145
1426287717555,139
1426287717814,144
1426287718066,145
1426287718329,157
1426287718564,141
1426287718808,133
1426287719071,141
1426287719328,143
1426287719583,144
1426287719831,138
1426287720106,159
