DTG,RTT
1426290842655,496
1426290842841,427
1426290843071,402
1426290843286,365
1426290843527,355
1426290843897,472
1426290844075,395
1426290844289,356
1426290844549,364
1426290844799,359
1426290845045,355
1426290845299,357
1426290845672,477
1426290845862,412
1426290846076,370
1426290846321,363
1426290846571,358
1426290846945,480
1426290847132,417
1426290847334,368
1426290847589,369
1426290847832,357
1426290848087,357
1426290848371,386
1426290848749,511
1426290848931,440
1426290849109,363
1426290849358,358
1426290849611,357
1426290849960,451
1426290850171,413
1426290850369,360
1426290850618,358
1426290850886,375
1426290851126,364
1426290851369,357
1426290851731,468
1426290851910,396
1426290852126,360
1426290852378,359
1426290852637,363
1426290852996,466
1426290853218,438
1426290853402,371
1426290853640,358
1426290853906,370
1426290854186,397
1426290854401,362
1426290854785,495
1426290854969,429
1426290855154,363
1426290855398,356
1426290855659,366
1426290855924,380
1426290856159,363
1426290856406,361
1426290856652,356
1426290856906,359
1426290857162,364
1426290857425,376
1426290857800,501
1426290857986,435
1426290858169,368
1426290858413,361
1426290858662,360
1426290858953,400
1426290859160,356
1426290859414,357
1426290859669,357
1426290859923,356
1426290860181,359
1426290860441,366
1426290860811,486
1426290860999,422
1426290861189,362
1426290861436,358
1426290861691,362
1426290861979,399
1426290862197,362
1426290862444,354
1426290862705,360
1426290862964,365
1426290863209,358
1426290863465,364
1426290863835,483
1426290864010,407
1426290864227,372
1426290864475,370
1426290864717,362
1426290865015,409
1426290865219,360
1426290865473,363
1426290865728,367
1426290865976,363
1426290866223,354
1426290866699,575
1426290866881,502
1426290867062,433
1426290867239,359
1426290867494,363
1426290867737,356
1426290868025,392
1426290868240,357
1426290868495,361
1426290868766,382
1426290868997,359
1426290869256,365
1426290869678,532
1426290869858,456
1426290870045,389
1426290870260,353
1426290870551,393
1426290870925,518
1426290871112,453
1426290871290,380
1426290871522,362
1426290871775,359
1426290872024,355
1426290872279,356
1426290872684,506
1426290872868,437
1426290873057,374
1426290873303,370
1426290873547,363
1426290873906,471
1426290874094,409
1426290874302,362
1426290874550,360
1426290874797,353
1426290875054,360
1426290875322,372
1426290875699,494
1426290875901,443
1426290876084,375
1426290876333,374
1426290876568,358
1426290876923,462
1426290877100,388
1426290877319,357
1426290877575,361
1426290877817,353
1426290878077,362
1426290878324,356
1426290878686,464
1426290878863,385
1426290879093,362
1426290879346,360
1426290879594,357
1426290879958,471
1426290880178,440
1426290880361,369
1426290880603,360
1426290880854,361
1426290881110,364
1426290881359,359
1426290881737,481
1426290881919,408
1426290882122,360
1426290882432,420
1426290882625,362
1426290882980,466
1426290883188,419
1426290883394,370
1426290883633,355
1426290883908,375
1426290884145,360
1426290884395,360
1426290884772,484
1426290884955,413
1426290885156,359
1426290885408,356
1426290885664,358
1426290886010,453
1426290886222,414
1426290886428,370
1426290886669,360
1426290886922,362
1426290887169,358
1426290887420,359
1426290887796,484
1426290887980,417
1426290888172,358
1426290888423,358
1426290888686,370
1426290888961,394
1426290889176,359
1426290889431,360
1426290889683,357
1426290889940,359
1426290890212,375
1426290890449,361
1426290890825,486
1426290891014,424
1426290891200,359
1426290891455,362
1426290891713,367
1426290892008,407
1426290892227,372
1426290892477,367
1426290892725,363
1426290892973,360
1426290893226,359
1426290893479,357
1426290893853,476
1426290894039,407
1426290894243,359
1426290894501,367
1426290894747,362
1426290895046,410
1426290895248,361
1426290895565,427
1426290895895,507
1426290896074,435
1426290896256,367
1426290896505,364
1426290896871,480
1426290897051,409
1426290897270,377
1426290897513,369
1426290897756,361
1426290898086,441
1426290898271,373
1426290898509,362
1426290898757,359
1426290899082,433
1426290899270,371
1426290899547,397
1426290899913,512
1426290900090,438
1426290900274,370
1426290900514,359
