DTG,RTT
1426291261799,341
1426291262029,321
1426291262187,224
1426291262441,224
1426291262723,252
1426291262945,224
1426291263197,222
1426291263451,224
1426291263713,232
1426291263954,219
1426291264223,235
1426291264502,261
1426291264764,272
1426291264983,240
1426291265238,243
1426291265468,224
1426291265715,220
1426291265971,225
1426291266216,215
1426291266474,220
1426291266726,218
1426291266982,222
1426291267237,225
1426291267491,225
1426291267776,256
1426291267996,225
1426291268249,223
1426291268497,219
1426291268797,266
1426291269002,216
1426291269272,236
1426291269513,222
1426291269768,225
1426291270016,222
1426291270259,210
1426291270522,218
1426291270805,249
1426291271053,247
1426291271278,220
1426291271536,223
1426291271781,213
1426291272041,224
1426291272291,223
1426291272539,220
1426291272792,219
1426291273051,225
1426291273302,221
1426291273558,223
1426291273809,220
1426291274063,220
1426291274320,223
1426291274573,222
1426291274836,231
1426291275084,225
1426291275325,216
1426291275583,223
1426291275827,215
1426291276082,219
1426291276345,229
1426291276623,251
1426291276856,234
1426291277099,222
1426291277348,216
1426291277605,223
1426291277858,224
1426291278105,219
1426291278360,222
1426291278614,222
1426291278866,222
1426291279143,247
1426291279382,234
1426291279623,222
1426291279871,218
1426291280141,236
1426291280385,226
1426291280627,215
1426291280886,221
1426291281136,220
1426291281438,268
1426291281651,226
1426291281893,217
1426291282145,215
1426291282402,220
1426291282648,215
1426291282901,218
1426291283156,221
1426291283407,220
1426291283650,212
1426291283906,218
1426291284160,220
1426291284412,220
1426291284666,220
1426291284934,237
1426291285175,224
1426291285433,229
1426291285673,216
1426291286012,303
1426291286178,218
1426291286433,221
1426291286693,228
1426291286943,224
1426291287190,216
1426291287446,222
1426291287690,212
1426291287942,213
1426291288205,223
1426291288455,220
1426291288794,309
1426291289010,274
1426291289213,226
1426291289456,214
1426291289708,211
1426291289966,215
1426291290228,226
1426291290477,220
1426291290734,225
1426291290977,216
1426291291237,226
1426291291485,219
1426291291795,276
1426291292028,258
1426291292247,223
1426291292498,221
1426291292753,224
1426291292999,216
1426291293275,242
1426291293510,224
1426291293762,221
1426291294025,229
1426291294264,213
1426291294529,227
1426291294797,242
1426291295073,267
1426291295279,222
1426291295530,221
1426291295796,233
1426291296034,220
1426291296290,221
1426291296543,222
1426291296797,222
1426291297046,217
1426291297325,245
1426291297549,218
1426291297848,265
1426291298073,234
1426291298306,218
1426291298559,218
1426291298813,221
1426291299064,221
1426291299316,222
1426291299569,223
1426291299815,216
1426291300074,222
1426291300323,217
1426291300576,219
1426291300837,227
1426291301089,225
1426291301341,222
1426291301589,217
1426291301857,231
1426291302100,220
1426291302362,227
1426291302611,222
1426291302858,215
1426291303125,227
1426291303374,224
1426291303623,223
1426291303868,217
1426291304136,234
1426291304377,224
1426291304624,218
1426291304873,215
1426291305138,229
1426291305387,222
1426291305641,225
1426291305883,213
1426291306145,221
1426291306401,225
1426291306645,218
1426291306893,215
1426291307148,220
1426291307403,224
1426291307649,215
1426291307916,230
1426291308158,218
1426291308406,215
1426291308659,216
1426291308921,225
1426291309168,217
1426291309434,232
1426291309677,224
1426291309925,221
1426291310183,226
1426291310436,226
1426291310692,228
1426291310933,218
1426291311198,231
1426291311437,215
1426291311696,220
1426291311953,223
1426291312198,216
1426291312458,226
1426291312707,223
1426291313036,297
1426291313213,223
1426291313468,223
1426291313718,219
1426291313972,220
1426291314220,218
1426291314475,221
1426291314728,223
1426291314989,229
1426291315246,231
1426291315484,215
1426291315829,308
1426291316050,277
1426291316247,223
1426291316492,215
1426291316745,217
1426291316992,214
1426291317254,225
1426291317499,220
1426291317751,217
1426291318016,227
1426291318263,219
1426291318519,222
1426291318829,280
1426291319050,251
1426291319267,216
1426291319522,221
1426291319768,216
1426291320016,210
1426291320273,217
1426291320527,220
1426291320787,226
1426291321042,227
1426291321297,227
1426291321547,222
1426291321836,261
1426291322066,240
1426291322297,216
1426291322554,223
1426291322828,242
1426291323065,224
1426291323309,214
1426291323563,215
1426291323815,217
1426291324072,223
1426291324323,220
1426291324571,214
1426291324832,222
1426291325105,240
1426291325345,225
1426291325610,237
1426291325848,220
