DTG,RTT
1426360382467,99
1426360382719,100
1426360382973,100
1426360383225,98
1426360383479,99
1426360383730,98
1426360383982,99
1426360384232,98
1426360384489,102
1426360384741,103
1426360385020,131
1426360385242,97
1426360385495,99
1426360385746,99
1426360385998,99
1426360386254,101
1426360386507,103
1426360386759,102
1426360387008,99
1426360387261,101
1426360387514,99
1426360387768,99
1426360388023,100
1426360388274,100
1426360388528,99
1426360388780,99
1426360389034,99
1426360389288,101
1426360389539,99
1426360389789,99
1426360390045,101
1426360390297,100
1426360390553,103
1426360390803,100
1426360391059,103
1426360391346,137
1426360391560,98
1426360391817,102
1426360392069,99
1426360392320,100
1426360392576,106
1426360392823,99
1426360393079,100
1426360393332,101
1426360393583,101
1426360393842,106
1426360394085,99
1426360394346,106
1426360394595,100
1426360394845,99
1426360395100,100
1426360395354,100
1426360395603,98
1426360395858,101
1426360396118,106
1426360396363,97
1426360396617,97
1426360396877,107
1426360397119,98
1426360397375,101
1426360397626,98
1426360397883,101
1426360398132,97
1426360398386,99
1426360398640,100
1426360398895,100
1426360399144,99
1426360399401,104
1426360399651,101
1426360399910,106
1426360400158,99
1426360400413,103
1426360400660,98
1426360400918,102
1426360401170,99
1426360401422,98
1426360401676,101
1426360401931,103
1426360402176,97
1426360402435,101
1426360402688,102
1426360402936,98
1426360403189,100
1426360403440,100
1426360403690,98
1426360403944,101
1426360404194,99
1426360404446,99
1426360404701,100
1426360404952,101
1426360405203,98
1426360405457,100
1426360405710,102
1426360405963,100
1426360406219,101
1426360406472,99
1426360406721,97
1426360406975,97
1426360407231,100
1426360407486,100
1426360407738,101
1426360407989,99
1426360408243,99
1426360408497,98
1426360408749,100
1426360409035,131
1426360409257,100
1426360409511,102
1426360409760,98
1426360410015,100
1426360410267,101
1426360410517,97
1426360410774,100
1426360411026,102
1426360411280,101
1426360411536,107
1426360411784,101
1426360412035,98
1426360412291,99
1426360412546,100
1426360412797,100
1426360413052,101
1426360413304,99
1426360413561,102
1426360413808,99
1426360414060,100
1426360414312,101
1426360414566,100
1426360414822,101
1426360415072,97
1426360415374,149
1426360415575,99
1426360415829,101
1426360416078,98
1426360416334,100
1426360416588,101
1426360416836,97
1426360417090,100
1426360417349,104
1426360417602,103
1426360417855,105
1426360418104,101
1426360418376,118
1426360418613,102
1426360418861,99
1426360419112,99
1426360419364,99
1426360419622,102
1426360419875,100
1426360420126,99
1426360420381,102
1426360420633,99
1426360420886,100
1426360421139,98
1426360421393,101
1426360421645,98
1426360421904,103
1426360422153,98
1426360422408,101
1426360422662,102
1426360422911,97
1426360423163,99
1426360423417,100
1426360423681,109
1426360424763,180
1426360425244,154
1426360425441,98
1426360425695,100
1426360425945,97
1426360426201,99
1426360426454,100
1426360427009,150
1426360427254,140
1426360427467,100
1426360427730,108
1426360427976,100
1426360428226,100
1426360428480,99
1426360428732,98
1426360428990,101
1426360429240,100
1426360429492,98
1426360429748,99
1426360429999,99
1426360430252,99
1426360430502,97
1426360430754,99
1426360431010,100
1426360431266,102
1426360431516,101
1426360431773,104
1426360432018,97
1426360432273,98
1426360432526,97
1426360432782,99
1426360433060,126
1426360433284,99
1426360433539,99
1426360433797,102
1426360434051,101
1426360434304,101
1426360434558,101
1426360434809,98
1426360435065,101
1426360435315,97
1426360435567,98
1426360435825,101
1426360436077,98
1426360436331,97
1426360436587,98
1426360436843,100
1426360437113,118
1426360437349,100
1426360437599,100
1426360437850,98
1426360438105,100
1426360438357,98
1426360438608,98
1426360438861,97
1426360439119,100
1426360439390,119
1426360439623,99
1426360439874,98
1426360440125,98
1426360440385,106
1426360440629,99
1426360440886,103
1426360441134,100
1426360441388,101
1426360441636,97
1426360441892,99
1426360442145,99
1426360442400,101
1426360442650,101
1426360442902,98
1426360443162,105
1426360443409,100
1426360443670,107
