DTG,RTT
1426371779408,183
1426371779692,216
1426371779832,104
1426371780078,99
1426371780340,107
1426371780585,101
1426371780842,104
1426371781099,105
1426371781345,101
1426371781600,105
1426371781852,102
1426371782105,100
1426371782417,163
1426371782611,102
1426371782865,101
1426371783116,102
1426371783373,105
1426371783635,112
1426371783882,104
1426371784133,105
1426371784383,102
1426371784640,106
1426371784891,105
1426371785139,99
1426371785415,121
1426371785645,100
1426371785899,101
1426371786155,102
1426371786409,101
1426371786665,102
1426371786919,101
1426371787173,103
1426371787425,102
1426371787680,104
1426371787932,101
1426371788188,105
1426371788441,104
1426371788690,102
1426371788942,100
1426371789198,102
1426371789462,111
1426371789724,124
1426371789956,103
1426371790208,101
1426371790464,102
1426371790716,103
1426371790967,100
1426371791224,103
1426371791476,102
1426371791732,104
1426371791976,95
1426371792236,100
1426371792490,100
1426371792744,100
1426371792999,105
1426371793260,111
1426371793519,115
1426371793758,102
1426371794013,103
1426371794266,102
1426371794518,104
1426371794768,100
1426371795022,102
1426371795279,106
1426371795535,108
1426371795780,100
1426371796031,99
1426371796284,101
1426371796536,100
1426371796793,103
1426371797041,100
1426371797298,103
1426371797551,103
1426371797816,115
1426371798073,118
1426371798309,103
1426371798563,103
1426371798819,105
1426371799071,102
1426371799326,105
1426371799573,101
1426371799825,99
1426371800080,103
1426371800336,105
1426371800585,99
1426371800867,126
1426371801095,102
1426371801349,103
1426371801612,113
1426371801861,107
1426371802111,103
1426371802367,104
1426371802617,103
1426371802870,101
1426371803162,142
1426371803426,153
1426371803631,104
1426371803880,100
1426371804140,110
1426371804386,103
1426371804635,102
1426371804889,104
1426371805142,103
1426371805419,126
1426371805648,101
1426371805903,103
1426371806155,105
1426371806421,118
1426371806654,101
1426371806908,100
1426371807160,100
1426371807417,104
1426371807668,102
1426371807924,106
1426371808169,100
1426371808424,101
1426371808686,113
1426371808927,100
1426371809181,103
1426371809435,105
1426371809683,101
1426371809937,101
1426371810197,107
1426371810449,105
1426371810701,102
1426371810955,101
1426371811209,100
1426371811459,100
1426371811715,101
1426371811969,101
1426371812225,106
1426371812479,107
1426371812723,99
1426371812978,102
1426371813229,99
1426371813483,103
1426371813734,101
1426371813988,100
1426371814243,103
1426371814503,112
1426371814742,101
1426371814997,103
1426371815247,101
1426371815504,104
1426371815756,103
1426371816007,103
1426371816255,100
1426371816507,99
1426371816764,104
1426371817015,102
1426371817270,102
1426371817535,113
1426371817776,102
1426371818034,107
1426371818292,111
1426371818538,103
1426371818786,101
1426371819038,100
1426371819293,100
1426371819546,101
1426371819806,107
1426371820052,102
1426371820302,100
1426371820550,95
1426371820806,101
1426371821066,106
1426371821312,102
1426371821566,102
1426371821818,102
1426371822070,102
1426371822324,102
1426371822576,101
1426371822830,100
1426371823086,102
1426371823337,102
1426371823593,108
1426371823843,105
1426371824091,102
1426371824341,100
1426371824597,101
1426371824851,102
1426371825102,101
1426371825361,106
1426371825608,102
1426371825857,99
1426371826110,101
1426371826363,103
1426371826615,104
1426371826871,105
1426371827121,102
1426371827411,140
1426371827627,106
1426371827879,105
1426371828125,100
1426371828375,100
1426371828631,102
1426371828889,106
1426371829145,110
1426371829389,103
1426371829639,101
1426371829894,101
1426371830148,102
1426371830429,129
1426371830656,103
1426371830934,126
1426371831160,101
1426371831409,98
1426371831664,103
1426371831915,99
1426371832172,101
1426371832426,101
1426371832678,102
1426371832932,102
1426371833188,105
1426371833434,100
1426371833692,106
1426371833945,104
1426371834192,101
1426371834444,100
1426371834700,102
1426371834952,100
1426371835214,109
1426371835461,101
1426371835711,100
1426371835968,104
1426371836218,99
1426371836475,103
1426371836731,104
1426371836978,99
1426371837233,100
1426371837489,103
1426371837739,101
1426371838021,130
1426371838247,101
1426371838550,149
1426371838755,103
1426371839006,101
1426371839264,105
1426371839516,103
1426371839769,106
1426371840021,104
1426371840271,99
1426371840526,102
1426371840775,100
1426371841031,101
1426371841287,102
1426371841552,116
1426371841792,102
1426371842039,99
