DTG,RTT
1426474365657,0
1426474365912,1
1426474366165,0
1426474366416,0
1426474366668,1
1426474366923,1
1426474367174,1
1426474367424,1
1426474367674,0
1426474367925,0
1426474368175,0
1426474368428,1
1426474368679,0
1426474368932,1
1426474369187,1
1426474369442,1
1426474369697,1
1426474369951,1
1426474370204,1
1426474370456,1
1426474370708,1
1426474370963,1
1426474371218,1
1426474371473,1
1426474371726,0
1426474371981,1
1426474372235,1
1426474372489,0
1426474372741,1
1426474372996,1
1426474373247,1
1426474373501,1
1426474373755,0
1426474374006,1
1426474374260,0
1426474374513,1
1426474374763,0
1426474375019,1
1426474375274,1
1426474375529,1
1426474375782,0
1426474376035,0
1426474376286,0
1426474376536,0
1426474376787,1
1426474377040,0
1426474377291,0
1426474377542,0
1426474377795,1
1426474378046,1
1426474378301,1
1426474378552,1
1426474378806,1
1426474379059,0
1426474379310,0
1426474379563,0
1426474379816,0
1426474380067,0
1426474380321,0
1426474380571,0
1426474380825,1
1426474381079,0
1426474381334,0
1426474381589,0
1426474381843,0
1426474382098,0
1426474382353,0
1426474382609,1
1426474382863,0
